Location,Island,Sex,Morph,Wing_centroid_pixels,Mating_status,Abdomen_length_mm
ANA,KAU,female,gyno,2179.57903045519,wheel,23.963656138404
ANA,KAU,male,male,1987.88439050162,wheel,25.008235278904
ANA,KAU,female,gyno,2093.29489083598,alone,24.09017169137
ANA,KAU,male,male,2028.67960752801,alone,25.561070932459
ANA,KAU,male,male,1876.44881358379,wheel,22.825204422697
ANA,KAU,female,gyno,2266.90571043438,wheel,25.396808802899
ANA,KAU,female,gyno,2158.60878808551,wheel,23.969116733578
ANA,KAU,female,gyno,2038.85936248678,wheel,23.068501528638
ANA,KAU,male,male,1918.70642621533,alone,21.628291876334
ANA,KAU,female,gyno,2036.41781076477,alone,22.684583381679
ANA,KAU,male,male,1817.49209076683,alone,22.791057293731
ANA,KAU,male,male,2016.19232713548,wheel,25.064768447859
ANA,KAU,female,gyno,1985.80940676592,wheel,21.366839263488
ANA,KAU,female,andro,2029.07894129331,wheel,22.793994340806
ANA,KAU,male,male,1726.8372679555,wheel,21.239787872066
ANA,KAU,male,male,1900.76441201954,alone,23.347680338411
ANA,KAU,female,gyno,2126.98282785734,alone,23.865284243079
ANA,KAU,male,male,1828.29141550246,alone,21.450539649589
ANA,KAU,female,gyno,2169.73341680493,alone,23.919593257005
ANA,KAU,male,male,1949.98316659401,alone,24.354532449118
ANA,KAU,male,male,1848.60136319327,alone,22.479551070093
ANA,KAU,female,gyno,2082.01237988634,wheel,22.904105375966
ANA,KAU,male,male,1827.03665808872,wheel,22.6574389074
ANA,KAU,male,male,1889.19771331642,alone,22.798826136452
ANA,KAU,female,gyno,2200.09079358103,alone,23.824894784478
ANA,KAU,male,male,1792.15215592873,wheel,21.62943634312
ANA,KAU,female,gyno,2189.01867283036,wheel,23.784348263574
BTP,TEX,female,andro,2066.70433299009,alone,23.06894224709
BTP,TEX,male,male,1864.53043686608,wheel,21.549788865031
BTP,TEX,female,gyno,2278.1474381611,wheel,25.178902282396
BTP,TEX,male,male,2122.95904341087,alone,24.758699367467
BTP,TEX,male,male,1997.35682841099,alone,24.176076135383
BTP,TEX,male,male,1865.9598602328,alone,23.260582650565
BTP,TEX,male,male,1733.08612019138,alone,21.063035315501
BTP,TEX,male,male,1880.91911043511,alone,22.874010181376
BTP,TEX,male,male,1834.81906464916,alone,21.917580562509
BTP,TEX,male,male,1776.12023804696,alone,21.056671545941
BTP,TEX,male,male,1956.09330043329,alone,22.857367408491
BTP,TEX,male,male,1868.78634412819,alone,22.297605562424
BTP,TEX,male,male,2117.52596206044,alone,25.427249871095
BTP,TEX,male,male,2071.28959829378,alone,23.459620295882
BTP,TEX,female,gyno,2106.51920238103,alone,22.810033258294
BTP,TEX,female,gyno,1936.99641197396,alone,20.99588758804
BTP,TEX,female,andro,2059.71701939854,alone,23.024573728651
BTP,TEX,female,gyno,2088.68614205198,alone,22.509278029198
BTP,TEX,female,gyno,2063.0610751987,alone,21.900094377439
BTP,TEX,female,gyno,2181.45766633231,alone,23.278709752698
BTP,TEX,female,gyno,2208.70155294915,alone,24.71110667458
BTP,TEX,female,andro,2099.56776504118,alone,22.615664874909
KAL,OAH,male,male,2001.45252254456,alone,24.721074823446
KAL,OAH,male,male,1989.44733531702,alone,24.674190672992
KAL,OAH,male,male,1984.95617080076,alone,24.063544090811
KAL,OAH,female,gyno,2166.1098656347,alone,24.506829862198
KAL,OAH,male,male,1968.16822197697,alone,23.628494570923
KAL,OAH,female,gyno,2380.17923694834,alone,27.094913275109
KAL,OAH,female,gyno,2376.75198537836,alone,26.384624879935
KAL,OAH,male,male,1931.94042351207,alone,23.471534520869
KAL,OAH,female,andro,2296.68316273708,alone,24.278433768419
KAL,OAH,female,andro,2177.6550691053,alone,24.076371491119
KAL,OAH,female,andro,2194.73877716689,alone,24.617409692509
KAL,OAH,female,gyno,2207.38459494489,alone,24.596520893028
KAL,OAH,male,male,1908.90160825539,alone,23.087616670234
KAL,OAH,female,andro,2234.65129270766,alone,24.356281977763
KAL,OAH,female,gyno,2305.31922952115,alone,24.590886323917
KAL,OAH,male,male,1934.5387951654,alone,24.220332410524
KAL,OAH,female,gyno,2167.21502163491,alone,25.282821056094
KAL,OAH,male,male,1949.27087650742,alone,25.043983414693
KAL,OAH,male,male,1864.28199315447,alone,23.55897578581
KAL,OAH,female,gyno,2207.57142579804,alone,24.1926702688
KAL,OAH,female,andro,2233.51783068772,alone,24.96250869699
KAL,OAH,female,gyno,2064.10245627488,alone,22.409157536532
KAL,OAH,female,gyno,2252.01551948471,alone,25.008684241513
MPA,OAH,male,male,1972.43783171993,wheel,23.535777860393
MPA,OAH,female,gyno,2384.66559500488,wheel,25.336933945864
MPA,OAH,male,male,2011.01243158763,alone,24.319291895175
MPA,OAH,female,gyno,2404.2986399364,wheel,25.766962583645
MPA,OAH,male,male,1925.15895447623,wheel,23.553308356484
MPA,OAH,male,male,1947.11157872373,alone,24.827727831607
MPA,OAH,male,male,2028.75147566182,alone,24.872549090786
MPA,OAH,female,gyno,2191.24602680758,alone,23.180403979957
MPA,OAH,female,andro,2077.1904101454,wheel,23.39834489521
MPA,OAH,female,andro,2102.81085692461,alone,22.915469602443
MPA,OAH,female,gyno,2161.38713561453,alone,23.861197427135
MPA,OAH,male,male,2064.35925894695,alone,25.129229225701
MPA,OAH,female,gyno,2323.74428455456,alone,25.390131226223
MPA,OAH,male,male,1909.77223772889,alone,24.888087728698
MPA,OAH,female,gyno,2239.52091975047,wheel,24.307541346866
MPA,OAH,male,male,2057.46488426899,wheel,25.513201801029
MPA,OAH,female,gyno,1988.61338625687,alone,22.330074217007
MPA,OAH,male,male,1955.73796813377,wheel,23.604736836555
MPA,OAH,female,andro,2060.10192709002,alone,22.658043133202
MPA,OAH,female,gyno,2034.36643700195,alone,23.081638058376
MPA,OAH,female,gyno,2172.02716373438,alone,24.13968288108
MPA,OAH,female,andro,2070.64712107109,alone,24.052844339155
NAW,KAU,female,andro,2273.75727596417,alone,25.723625135147
NAW,KAU,female,gyno,2302.30302089017,wheel,24.392766108287
NAW,KAU,female,gyno,2471.35474992968,alone,27.401338282957
NAW,KAU,female,gyno,2149.08464235358,alone,24.683623036317
NAW,KAU,female,gyno,2266.96967337457,wheel,24.885398609564
NAW,KAU,male,male,2010.16868695142,alone,25.300080500389
NAW,KAU,male,male,2004.40094541985,wheel,24.56484093652
NAW,KAU,male,male,2039.85620816763,alone,24.036598778009
NAW,KAU,male,male,1800.88750342713,alone,21.525554853331
NAW,KAU,male,male,1992.65569027868,alone,24.038148298537
NAW,KAU,male,male,2029.37772482108,alone,24.323343035826
NAW,KAU,male,male,1762.43143129031,alone,21.174691553325
NAW,KAU,male,male,1827.86086724346,alone,23.032108517744
NAW,KAU,male,male,1919.57816980711,alone,23.840119551776
NAW,KAU,male,male,1943.64078471306,alone,23.905854977887
NAW,KAU,male,male,2025.48796589859,alone,24.271541420341
NAW,KAU,male,male,1969.56603088091,alone,24.181359973291
NAW,KAU,male,male,1907.53702454238,alone,23.507568291828
NAW,KAU,male,male,2034.32217212515,alone,24.193041329946
NAW,KAU,male,male,2066.90372296341,alone,25.758474319167
NAW,KAU,female,gyno,2254.27588151938,alone,25.165199223502
NAW,KAU,female,andro,2258.30576981949,alone,23.972933608941
NAW,KAU,female,gyno,1980.13023561583,alone,22.233878525138
RCH,HAW,female,gyno,2444.38161914215,alone,28.866425774349
RCH,HAW,male,male,2153.56842240965,alone,27.45556971291
RCH,HAW,female,gyno,2497.04640525562,alone,28.020669518347
RCH,HAW,male,male,2329.23866316872,alone,28.356131547781
RCH,HAW,male,male,2222.0374771817,alone,27.862061187209
RCH,HAW,female,gyno,2598.69019892714,alone,28.878001618494
RCH,HAW,male,male,2297.58607020499,alone,28.607287642437
RCH,HAW,female,gyno,2512.69193296751,alone,28.515938943402
RCH,HAW,male,male,2197.74073766675,alone,28.858728779615
RCH,HAW,female,gyno,2505.66947141877,alone,28.567747194428
RCH,HAW,female,gyno,2481.81134456268,alone,28.955931232274
RCH,HAW,male,male,2242.43171579426,alone,28.320213967579
RCH,HAW,female,gyno,2531.98522902485,alone,28.72708975294
RCH,HAW,female,gyno,2496.83710922439,alone,28.448752386914
RCH,HAW,male,male,2165.13720119534,alone,27.551460032314
RCH,HAW,male,male,2261.12839087036,alone,28.744757986776
RCH,HAW,male,male,2316.72808072074,alone,28.127485885696
RCH,HAW,male,male,2300.96794849472,alone,29.028066505392
RCH,HAW,male,male,2274.36447167115,alone,29.009607647375
RCH,HAW,male,male,2283.36128328392,alone,27.929751991898
RCH,HAW,male,male,2228.49067756632,alone,27.930934557484
RCH,HAW,female,gyno,2589.29723091035,alone,28.243524363909
RCH,HAW,female,gyno,2578.17771885493,alone,28.11968196033
RCH,HAW,male,male,2249.00559136699,alone,27.483142015547
RCH,HAW,female,gyno,2665.68864460949,alone,29.619993072865
RCH,HAW,male,male,2238.638224457,alone,28.549197523688
RSP,KAU,male,male,2050.61960148634,alone,24.670238758549
RSP,KAU,male,male,2091.71106991382,alone,26.008024612901
RSP,KAU,male,male,2075.90459800059,alone,25.345148184723
RSP,KAU,male,male,2091.04519319885,alone,25.340414832143
RSP,KAU,male,male,2039.25748742036,alone,24.608134444402
RSP,KAU,male,male,2121.04997583744,alone,25.032522322017
RSP,KAU,male,male,2081.89715163838,alone,24.53025653916
RSP,KAU,female,gyno,2379.59649940909,alone,24.946471885519
RSP,KAU,male,male,1984.11884724681,alone,23.435550627589
RSP,KAU,male,male,2017.19723874489,alone,24.578426598195
RSP,KAU,female,andro,2026.0421515852,alone,24.006161223369
RSP,KAU,male,male,2073.70247383756,alone,25.161138685147
RSP,KAU,female,andro,2376.97696665323,alone,26.309041030437
RSP,KAU,male,male,2016.88441661886,alone,24.000547693262
RSP,KAU,male,male,2067.21990847612,alone,25.134163380123
RSP,KAU,male,male,2103.17615762446,alone,25.262597715653
TAR,KAU,male,male,2026.06824909725,alone,24.744629194886
TAR,KAU,male,male,1946.96938856265,alone,24.208560389308
TAR,KAU,male,male,2102.3254624344,alone,25.602137872388
TAR,KAU,male,male,1864.74566630412,alone,22.693783130664
TAR,KAU,male,male,1883.20013540781,alone,23.874917429412
TAR,KAU,male,male,2006.05432379086,alone,23.924685309787
TAR,KAU,male,male,1874.38276507228,alone,23.115873174404
TAR,KAU,male,male,1901.76963641762,wheel,23.250530472679
TAR,KAU,male,male,1981.11351264888,wheel,23.38029759948
TAR,KAU,female,gyno,2337.33514926722,wheel,25.438342834116
TAR,KAU,female,andro,2276.03254590087,wheel,24.446594400021
TAR,KAU,female,gyno,2242.80304529845,alone,24.327872877316
TAR,KAU,male,male,1980.24244727761,alone,24.134186854022
TAR,KAU,male,male,1846.77820812354,alone,23.228305421286
TAR,KAU,male,male,1987.6160972381,alone,23.798481680163
TAR,KAU,male,male,2063.22416377862,alone,24.202304132445
TAR,KAU,male,male,1957.83767202493,alone,24.276946232522
TAR,KAU,male,male,1866.8028015835,alone,22.058874989234
TAR,KAU,female,andro,2129.54238041885,alone,24.181468237381
