"Indicator","Country","Date","Value"
"confirmed_Ebola_cases","Guinea",2014-08-29,482
"probable_Ebola_cases","Guinea",2014-08-29,141
"suspected_Ebola_cases","Guinea",2014-08-29,25
"all_Ebola_cases","Guinea",2014-08-29,648
"confirmed_Ebola_deaths","Guinea",2014-08-29,287
"probable_Ebola_deaths","Guinea",2014-08-29,141
"suspected_Ebola_deaths","Guinea",2014-08-29,2
"all_Ebola_deaths","Guinea",2014-08-29,430
"confirmed_Ebola_cases","Guinea",2014-09-05,604
"probable_Ebola_cases","Guinea",2014-09-05,152
"suspected_Ebola_cases","Guinea",2014-09-05,56
"all_Ebola_cases","Guinea",2014-09-05,812
"confirmed_Ebola_deaths","Guinea",2014-09-05,362
"probable_Ebola_deaths","Guinea",2014-09-05,152
"suspected_Ebola_deaths","Guinea",2014-09-05,3
"all_Ebola_deaths","Guinea",2014-09-05,517
"confirmed_Ebola_cases","Guinea",2014-09-08,664
"probable_Ebola_cases","Guinea",2014-09-08,151
"suspected_Ebola_cases","Guinea",2014-09-08,47
"all_Ebola_cases","Guinea",2014-09-08,862
"confirmed_Ebola_deaths","Guinea",2014-09-08,400
"probable_Ebola_deaths","Guinea",2014-09-08,151
"suspected_Ebola_deaths","Guinea",2014-09-08,4
"all_Ebola_deaths","Guinea",2014-09-08,555
"confirmed_Ebola_cases","Guinea",2014-09-12,678
"probable_Ebola_cases","Guinea",2014-09-12,151
"suspected_Ebola_cases","Guinea",2014-09-12,32
"all_Ebola_cases","Guinea",2014-09-12,861
"confirmed_Ebola_deaths","Guinea",2014-09-12,403
"probable_Ebola_deaths","Guinea",2014-09-12,150
"suspected_Ebola_deaths","Guinea",2014-09-12,4
"all_Ebola_deaths","Guinea",2014-09-12,557
"confirmed_Ebola_cases","Guinea",2014-09-16,743
"probable_Ebola_cases","Guinea",2014-09-16,162
"suspected_Ebola_cases","Guinea",2014-09-16,31
"all_Ebola_cases","Guinea",2014-09-16,936
"confirmed_Ebola_deaths","Guinea",2014-09-16,429
"probable_Ebola_deaths","Guinea",2014-09-16,162
"suspected_Ebola_deaths","Guinea",2014-09-16,4
"all_Ebola_deaths","Guinea",2014-09-16,595
"confirmed_Ebola_cases","Guinea",2014-09-18,750
"probable_Ebola_cases","Guinea",2014-09-18,162
"suspected_Ebola_cases","Guinea",2014-09-18,30
"all_Ebola_cases","Guinea",2014-09-18,942
"confirmed_Ebola_deaths","Guinea",2014-09-18,435
"probable_Ebola_deaths","Guinea",2014-09-18,161
"suspected_Ebola_deaths","Guinea",2014-09-18,5
"all_Ebola_deaths","Guinea",2014-09-18,601
"confirmed_Ebola_cases","Guinea",2014-09-22,818
"probable_Ebola_cases","Guinea",2014-09-22,162
"suspected_Ebola_cases","Guinea",2014-09-22,28
"all_Ebola_cases","Guinea",2014-09-22,1008
"confirmed_Ebola_deaths","Guinea",2014-09-22,465
"probable_Ebola_deaths","Guinea",2014-09-22,162
"suspected_Ebola_deaths","Guinea",2014-09-22,5
"all_Ebola_deaths","Guinea",2014-09-22,632
"confirmed_Ebola_cases","Guinea",2014-09-24,832
"probable_Ebola_cases","Guinea",2014-09-24,162
"suspected_Ebola_cases","Guinea",2014-09-24,28
"all_Ebola_cases","Guinea",2014-09-24,1022
"confirmed_Ebola_deaths","Guinea",2014-09-24,468
"probable_Ebola_deaths","Guinea",2014-09-24,162
"suspected_Ebola_deaths","Guinea",2014-09-24,5
"all_Ebola_deaths","Guinea",2014-09-24,635
"confirmed_Ebola_cases","Guinea",2014-09-26,876
"probable_Ebola_cases","Guinea",2014-09-26,162
"suspected_Ebola_cases","Guinea",2014-09-26,36
"all_Ebola_cases","Guinea",2014-09-26,1074
"confirmed_Ebola_deaths","Guinea",2014-09-26,481
"probable_Ebola_deaths","Guinea",2014-09-26,162
"suspected_Ebola_deaths","Guinea",2014-09-26,5
"all_Ebola_deaths","Guinea",2014-09-26,648
"confirmed_Ebola_cases","Guinea",2014-10-01,950
"probable_Ebola_cases","Guinea",2014-10-01,170
"suspected_Ebola_cases","Guinea",2014-10-01,37
"all_Ebola_cases","Guinea",2014-10-01,1157
"confirmed_Ebola_deaths","Guinea",2014-10-01,535
"probable_Ebola_deaths","Guinea",2014-10-01,170
"suspected_Ebola_deaths","Guinea",2014-10-01,5
"all_Ebola_deaths","Guinea",2014-10-01,710
"confirmed_Ebola_cases","Guinea",2014-10-03,977
"probable_Ebola_cases","Guinea",2014-10-03,177
"suspected_Ebola_cases","Guinea",2014-10-03,45
"all_Ebola_cases","Guinea",2014-10-03,1199
"confirmed_Ebola_deaths","Guinea",2014-10-03,562
"probable_Ebola_deaths","Guinea",2014-10-03,177
"suspected_Ebola_deaths","Guinea",2014-10-03,0
"all_Ebola_deaths","Guinea",2014-10-03,739
"confirmed_Ebola_cases","Guinea",2014-10-08,1044
"probable_Ebola_cases","Guinea",2014-10-08,180
"suspected_Ebola_cases","Guinea",2014-10-08,74
"all_Ebola_cases","Guinea",2014-10-08,1298
"confirmed_Ebola_deaths","Guinea",2014-10-08,587
"probable_Ebola_deaths","Guinea",2014-10-08,179
"suspected_Ebola_deaths","Guinea",2014-10-08,2
"all_Ebola_deaths","Guinea",2014-10-08,768
