"Indicator","Country","Date","Value"
"confirmed_Ebola_cases","Guinea",2014-10-10,1097
"probable_Ebola_cases","Guinea",2014-10-10,180
"suspected_Ebola_cases","Guinea",2014-10-10,73
"all_Ebola_cases","Guinea",2014-10-10,1350
"confirmed_Ebola_deaths","Guinea",2014-10-10,598
"probable_Ebola_deaths","Guinea",2014-10-10,180
"suspected_Ebola_deaths","Guinea",2014-10-10,0
"all_Ebola_deaths","Guinea",2014-10-10,778
"confirmed_Ebola_cases","Guinea",2014-10-15,1184
"probable_Ebola_cases","Guinea",2014-10-15,190
"suspected_Ebola_cases","Guinea",2014-10-15,98
"all_Ebola_cases","Guinea",2014-10-15,1472
"confirmed_Ebola_deaths","Guinea",2014-10-15,653
"probable_Ebola_deaths","Guinea",2014-10-15,190
"suspected_Ebola_deaths","Guinea",2014-10-15,0
"all_Ebola_deaths","Guinea",2014-10-15,843
"confirmed_Ebola_cases","Guinea",2014-10-17,1217
"probable_Ebola_cases","Guinea",2014-10-17,191
"suspected_Ebola_cases","Guinea",2014-10-17,111
"all_Ebola_cases","Guinea",2014-10-17,1519
"confirmed_Ebola_deaths","Guinea",2014-10-17,671
"probable_Ebola_deaths","Guinea",2014-10-17,191
"suspected_Ebola_deaths","Guinea",2014-10-17,0
"all_Ebola_deaths","Guinea",2014-10-17,862
"confirmed_Ebola_cases","Guinea",2014-10-22,1289
"probable_Ebola_cases","Guinea",2014-10-22,193
"suspected_Ebola_cases","Guinea",2014-10-22,58
"all_Ebola_cases","Guinea",2014-10-22,1540
"confirmed_Ebola_deaths","Guinea",2014-10-22,710
"probable_Ebola_deaths","Guinea",2014-10-22,193
"suspected_Ebola_deaths","Guinea",2014-10-22,1
"all_Ebola_deaths","Guinea",2014-10-22,904
"confirmed_Ebola_cases","Guinea",2014-10-25,1312
"probable_Ebola_cases","Guinea",2014-10-25,194
"suspected_Ebola_cases","Guinea",2014-10-25,47
"all_Ebola_cases","Guinea",2014-10-25,1553
"confirmed_Ebola_deaths","Guinea",2014-10-25,732
"probable_Ebola_deaths","Guinea",2014-10-25,194
"suspected_Ebola_deaths","Guinea",2014-10-25,0
"all_Ebola_deaths","Guinea",2014-10-25,926
"confirmed_Ebola_cases","Guinea",2014-11-05,1457
"probable_Ebola_cases","Guinea",2014-11-05,204
"suspected_Ebola_cases","Guinea",2014-11-05,70
"all_Ebola_cases","Guinea",2014-11-05,1731
"confirmed_Ebola_deaths","Guinea",2014-11-05,837
"probable_Ebola_deaths","Guinea",2014-11-05,204
"suspected_Ebola_deaths","Guinea",2014-11-05,0
"all_Ebola_deaths","Guinea",2014-11-05,1041
"confirmed_Ebola_cases","Guinea",2014-11-07,1479
"probable_Ebola_cases","Guinea",2014-11-07,204
"suspected_Ebola_cases","Guinea",2014-11-07,77
"all_Ebola_cases","Guinea",2014-11-07,1760
"confirmed_Ebola_deaths","Guinea",2014-11-07,850
"probable_Ebola_deaths","Guinea",2014-11-07,204
"suspected_Ebola_deaths","Guinea",2014-11-07,0
"all_Ebola_deaths","Guinea",2014-11-07,1054
"confirmed_Ebola_cases","Guinea",2014-11-12,1612
"probable_Ebola_cases","Guinea",2014-11-12,208
"suspected_Ebola_cases","Guinea",2014-11-12,58
"all_Ebola_cases","Guinea",2014-11-12,1878
"confirmed_Ebola_deaths","Guinea",2014-11-12,934
"probable_Ebola_deaths","Guinea",2014-11-12,208
"suspected_Ebola_deaths","Guinea",2014-11-12,0
"all_Ebola_deaths","Guinea",2014-11-12,1142
"confirmed_Ebola_cases","Guinea",2014-11-14,1647
"probable_Ebola_cases","Guinea",2014-11-14,208
"suspected_Ebola_cases","Guinea",2014-11-14,64
"all_Ebola_cases","Guinea",2014-11-14,1919
"confirmed_Ebola_deaths","Guinea",2014-11-14,958
"probable_Ebola_deaths","Guinea",2014-11-14,208
"suspected_Ebola_deaths","Guinea",2014-11-14,0
"all_Ebola_deaths","Guinea",2014-11-14,1166
"confirmed_Ebola_cases","Guinea",2014-11-19,1698
"probable_Ebola_cases","Guinea",2014-11-19,210
"suspected_Ebola_cases","Guinea",2014-11-19,63
"all_Ebola_cases","Guinea",2014-11-19,1971
"confirmed_Ebola_deaths","Guinea",2014-11-19,982
"probable_Ebola_deaths","Guinea",2014-11-19,210
"suspected_Ebola_deaths","Guinea",2014-11-19,0
"all_Ebola_deaths","Guinea",2014-11-19,1192
"confirmed_Ebola_cases","Guinea",2014-11-21,1745
"probable_Ebola_cases","Guinea",2014-11-21,216
"suspected_Ebola_cases","Guinea",2014-11-21,86
"all_Ebola_cases","Guinea",2014-11-21,2047
"confirmed_Ebola_deaths","Guinea",2014-11-21,998
"probable_Ebola_deaths","Guinea",2014-11-21,216
"suspected_Ebola_deaths","Guinea",2014-11-21,0
"all_Ebola_deaths","Guinea",2014-11-21,1214
"confirmed_Ebola_cases","Guinea",2014-11-26,1850
"probable_Ebola_cases","Guinea",2014-11-26,210
"suspected_Ebola_cases","Guinea",2014-11-26,74
"all_Ebola_cases","Guinea",2014-11-26,2134
"confirmed_Ebola_deaths","Guinea",2014-11-26,1050
"probable_Ebola_deaths","Guinea",2014-11-26,210
"suspected_Ebola_deaths","Guinea",2014-11-26,0
"all_Ebola_deaths","Guinea",2014-11-26,1260
"confirmed_Ebola_cases","Guinea",2014-12-01,1921
"probable_Ebola_cases","Guinea",2014-12-01,210
"suspected_Ebola_cases","Guinea",2014-12-01,24
"all_Ebola_cases","Guinea",2014-12-01,2155
"confirmed_Ebola_deaths","Guinea",2014-12-01,1102
"probable_Ebola_deaths","Guinea",2014-12-01,210
"suspected_Ebola_deaths","Guinea",2014-12-01,0
"all_Ebola_deaths","Guinea",2014-12-01,1312
"confirmed_Ebola_cases","Guinea",2014-12-03,1929
"probable_Ebola_cases","Guinea",2014-12-03,210
"suspected_Ebola_cases","Guinea",2014-12-03,25
"all_Ebola_cases","Guinea",2014-12-03,2164
"confirmed_Ebola_deaths","Guinea",2014-12-03,1117
"probable_Ebola_deaths","Guinea",2014-12-03,210
"suspected_Ebola_deaths","Guinea",2014-12-03,0
"all_Ebola_deaths","Guinea",2014-12-03,1327
"confirmed_Ebola_cases","Guinea",2014-12-10,2051
"probable_Ebola_cases","Guinea",2014-12-10,221
"suspected_Ebola_cases","Guinea",2014-12-10,20
"all_Ebola_cases","Guinea",2014-12-10,2292
"confirmed_Ebola_deaths","Guinea",2014-12-10,1207
"probable_Ebola_deaths","Guinea",2014-12-10,221
"suspected_Ebola_deaths","Guinea",2014-12-10,0
"all_Ebola_deaths","Guinea",2014-12-10,1428
"confirmed_Ebola_cases","Guinea",2014-12-15,2115
"probable_Ebola_cases","Guinea",2014-12-15,263
"suspected_Ebola_cases","Guinea",2014-12-15,16
"all_Ebola_cases","Guinea",2014-12-15,2394
"confirmed_Ebola_deaths","Guinea",2014-12-15,1255
"probable_Ebola_deaths","Guinea",2014-12-15,263
"suspected_Ebola_deaths","Guinea",2014-12-15,0
"all_Ebola_deaths","Guinea",2014-12-15,1518
"confirmed_Ebola_cases","Guinea",2014-12-17,2127
"probable_Ebola_cases","Guinea",2014-12-17,263
"suspected_Ebola_cases","Guinea",2014-12-17,26
"all_Ebola_cases","Guinea",2014-12-17,2416
"confirmed_Ebola_deaths","Guinea",2014-12-17,1262
"probable_Ebola_deaths","Guinea",2014-12-17,263
"suspected_Ebola_deaths","Guinea",2014-12-17,0
"all_Ebola_deaths","Guinea",2014-12-17,1525
"confirmed_Ebola_cases","Guinea",2014-12-22,2259
"probable_Ebola_cases","Guinea",2014-12-22,263
"suspected_Ebola_cases","Guinea",2014-12-22,49
"all_Ebola_cases","Guinea",2014-12-22,2571
"confirmed_Ebola_deaths","Guinea",2014-12-22,1323
"probable_Ebola_deaths","Guinea",2014-12-22,263
"suspected_Ebola_deaths","Guinea",2014-12-22,0
"all_Ebola_deaths","Guinea",2014-12-22,1586
"confirmed_Ebola_cases","Guinea",2014-12-23,2284
"probable_Ebola_cases","Guinea",2014-12-23,263
"suspected_Ebola_cases","Guinea",2014-12-23,50
"all_Ebola_cases","Guinea",2014-12-23,2597
"confirmed_Ebola_deaths","Guinea",2014-12-23,1344
"probable_Ebola_deaths","Guinea",2014-12-23,263
"suspected_Ebola_deaths","Guinea",2014-12-23,0
"all_Ebola_deaths","Guinea",2014-12-23,1607
"confirmed_Ebola_cases","Guinea",2014-12-24,2284
"probable_Ebola_cases","Guinea",2014-12-24,263
"suspected_Ebola_cases","Guinea",2014-12-24,50
"all_Ebola_cases","Guinea",2014-12-24,2597
"confirmed_Ebola_deaths","Guinea",2014-12-24,1344
"probable_Ebola_deaths","Guinea",2014-12-24,263
"suspected_Ebola_deaths","Guinea",2014-12-24,0
"all_Ebola_deaths","Guinea",2014-12-24,1607
"confirmed_Ebola_cases","Guinea",2014-12-26,2342
"probable_Ebola_cases","Guinea",2014-12-26,269
"suspected_Ebola_cases","Guinea",2014-12-26,19
"all_Ebola_cases","Guinea",2014-12-26,2630
"confirmed_Ebola_deaths","Guinea",2014-12-26,1385
"probable_Ebola_deaths","Guinea",2014-12-26,269
"suspected_Ebola_deaths","Guinea",2014-12-26,0
"all_Ebola_deaths","Guinea",2014-12-26,1654
"confirmed_Ebola_cases","Guinea",2014-12-29,2384
"probable_Ebola_cases","Guinea",2014-12-29,275
"suspected_Ebola_cases","Guinea",2014-12-29,36
"all_Ebola_cases","Guinea",2014-12-29,2695
"confirmed_Ebola_deaths","Guinea",2014-12-29,1422
"probable_Ebola_deaths","Guinea",2014-12-29,275
"suspected_Ebola_deaths","Guinea",2014-12-29,0
"all_Ebola_deaths","Guinea",2014-12-29,1697
"confirmed_Ebola_cases","Guinea",2014-12-30,2397
"probable_Ebola_cases","Guinea",2014-12-30,275
"suspected_Ebola_cases","Guinea",2014-12-30,34
"all_Ebola_cases","Guinea",2014-12-30,2706
"confirmed_Ebola_deaths","Guinea",2014-12-30,1433
"probable_Ebola_deaths","Guinea",2014-12-30,275
"suspected_Ebola_deaths","Guinea",2014-12-30,0
"all_Ebola_deaths","Guinea",2014-12-30,1708
"confirmed_Ebola_cases","Guinea",2014-12-31,2397
"probable_Ebola_cases","Guinea",2014-12-31,276
"suspected_Ebola_cases","Guinea",2014-12-31,34
"all_Ebola_cases","Guinea",2014-12-31,2707
"confirmed_Ebola_deaths","Guinea",2014-12-31,1433
"probable_Ebola_deaths","Guinea",2014-12-31,276
"suspected_Ebola_deaths","Guinea",2014-12-31,0
"all_Ebola_deaths","Guinea",2014-12-31,1709
"confirmed_Ebola_cases","Guinea",2015-01-02,2435
"probable_Ebola_cases","Guinea",2015-01-02,276
"suspected_Ebola_cases","Guinea",2015-01-02,19
"all_Ebola_cases","Guinea",2015-01-02,2730
"confirmed_Ebola_deaths","Guinea",2015-01-02,1463
"probable_Ebola_deaths","Guinea",2015-01-02,276
"suspected_Ebola_deaths","Guinea",2015-01-02,0
"all_Ebola_deaths","Guinea",2015-01-02,1739
"confirmed_Ebola_cases","Guinea",2015-01-05,2465
"probable_Ebola_cases","Guinea",2015-01-05,280
"suspected_Ebola_cases","Guinea",2015-01-05,26
"all_Ebola_cases","Guinea",2015-01-05,2769
"confirmed_Ebola_deaths","Guinea",2015-01-05,1488
"probable_Ebola_deaths","Guinea",2015-01-05,280
"suspected_Ebola_deaths","Guinea",2015-01-05,0
"all_Ebola_deaths","Guinea",2015-01-05,1767
"confirmed_Ebola_cases","Guinea",2015-01-06,2471
"probable_Ebola_cases","Guinea",2015-01-06,282
"suspected_Ebola_cases","Guinea",2015-01-06,22
"all_Ebola_cases","Guinea",2015-01-06,2775
"confirmed_Ebola_deaths","Guinea",2015-01-06,1499
"probable_Ebola_deaths","Guinea",2015-01-06,282
"suspected_Ebola_deaths","Guinea",2015-01-06,0
"all_Ebola_deaths","Guinea",2015-01-06,1781
"confirmed_Ebola_cases","Guinea",2015-01-07,2471
"probable_Ebola_cases","Guinea",2015-01-07,282
"suspected_Ebola_cases","Guinea",2015-01-07,22
"all_Ebola_cases","Guinea",2015-01-07,2775
"confirmed_Ebola_deaths","Guinea",2015-01-07,1499
"probable_Ebola_deaths","Guinea",2015-01-07,282
"suspected_Ebola_deaths","Guinea",2015-01-07,0
"all_Ebola_deaths","Guinea",2015-01-07,1781
"confirmed_Ebola_cases","Liberia",2014-08-29,322
"probable_Ebola_cases","Liberia",2014-08-29,674
"suspected_Ebola_cases","Liberia",2014-08-29,382
"all_Ebola_cases","Liberia",2014-08-29,1378
"confirmed_Ebola_deaths","Liberia",2014-08-29,225
"probable_Ebola_deaths","Liberia",2014-08-29,301
"suspected_Ebola_deaths","Liberia",2014-08-29,168
"all_Ebola_deaths","Liberia",2014-08-29,694
"confirmed_Ebola_cases","Liberia",2014-09-05,614
"probable_Ebola_cases","Liberia",2014-09-05,888
"suspected_Ebola_cases","Liberia",2014-09-05,369
"all_Ebola_cases","Liberia",2014-09-05,1871
"confirmed_Ebola_deaths","Liberia",2014-09-05,431
"probable_Ebola_deaths","Liberia",2014-09-05,401
"suspected_Ebola_deaths","Liberia",2014-09-05,257
"all_Ebola_deaths","Liberia",2014-09-05,1089
"confirmed_Ebola_cases","Liberia",2014-09-08,634
"probable_Ebola_cases","Liberia",2014-09-08,969
"suspected_Ebola_cases","Liberia",2014-09-08,443
"all_Ebola_cases","Liberia",2014-09-08,2046
"confirmed_Ebola_deaths","Liberia",2014-09-08,508
"probable_Ebola_deaths","Liberia",2014-09-08,420
"suspected_Ebola_deaths","Liberia",2014-09-08,296
"all_Ebola_deaths","Liberia",2014-09-08,1224
"confirmed_Ebola_cases","Liberia",2014-09-12,654
"probable_Ebola_cases","Liberia",2014-09-12,974
"suspected_Ebola_cases","Liberia",2014-09-12,453
"all_Ebola_cases","Liberia",2014-09-12,2081
"confirmed_Ebola_deaths","Liberia",2014-09-12,498
"probable_Ebola_deaths","Liberia",2014-09-12,428
"suspected_Ebola_deaths","Liberia",2014-09-12,211
"all_Ebola_deaths","Liberia",2014-09-12,1137
"confirmed_Ebola_cases","Liberia",2014-09-16,790
"probable_Ebola_cases","Liberia",2014-09-16,1078
"suspected_Ebola_cases","Liberia",2014-09-16,539
"all_Ebola_cases","Liberia",2014-09-16,2407
"confirmed_Ebola_deaths","Liberia",2014-09-16,563
"probable_Ebola_deaths","Liberia",2014-09-16,472
"suspected_Ebola_deaths","Liberia",2014-09-16,261
"all_Ebola_deaths","Liberia",2014-09-16,1296
"confirmed_Ebola_cases","Liberia",2014-09-18,812
"probable_Ebola_cases","Liberia",2014-09-18,1233
"suspected_Ebola_cases","Liberia",2014-09-18,675
"all_Ebola_cases","Liberia",2014-09-18,2710
"confirmed_Ebola_deaths","Liberia",2014-09-18,631
"probable_Ebola_deaths","Liberia",2014-09-18,518
"suspected_Ebola_deaths","Liberia",2014-09-18,310
"all_Ebola_deaths","Liberia",2014-09-18,1459
"confirmed_Ebola_cases","Liberia",2014-09-22,863
"probable_Ebola_cases","Liberia",2014-09-22,1342
"suspected_Ebola_cases","Liberia",2014-09-22,817
"all_Ebola_cases","Liberia",2014-09-22,3022
"confirmed_Ebola_deaths","Liberia",2014-09-22,670
"probable_Ebola_deaths","Liberia",2014-09-22,544
"suspected_Ebola_deaths","Liberia",2014-09-22,364
"all_Ebola_deaths","Liberia",2014-09-22,1578
"confirmed_Ebola_cases","Liberia",2014-09-24,890
"probable_Ebola_cases","Liberia",2014-09-24,1469
"suspected_Ebola_cases","Liberia",2014-09-24,921
"all_Ebola_cases","Liberia",2014-09-24,3280
"confirmed_Ebola_deaths","Liberia",2014-09-24,671
"probable_Ebola_deaths","Liberia",2014-09-24,593
"suspected_Ebola_deaths","Liberia",2014-09-24,413
"all_Ebola_deaths","Liberia",2014-09-24,1677
"confirmed_Ebola_cases","Liberia",2014-09-26,914
"probable_Ebola_cases","Liberia",2014-09-26,1539
"suspected_Ebola_cases","Liberia",2014-09-26,1005
"all_Ebola_cases","Liberia",2014-09-26,3458
"confirmed_Ebola_deaths","Liberia",2014-09-26,792
"probable_Ebola_deaths","Liberia",2014-09-26,623
"suspected_Ebola_deaths","Liberia",2014-09-26,415
"all_Ebola_deaths","Liberia",2014-09-26,1830
"confirmed_Ebola_cases","Liberia",2014-10-01,927
"probable_Ebola_cases","Liberia",2014-10-01,1656
"suspected_Ebola_cases","Liberia",2014-10-01,1113
"all_Ebola_cases","Liberia",2014-10-01,3696
"confirmed_Ebola_deaths","Liberia",2014-10-01,890
"probable_Ebola_deaths","Liberia",2014-10-01,664
"suspected_Ebola_deaths","Liberia",2014-10-01,444
"all_Ebola_deaths","Liberia",2014-10-01,1998
"confirmed_Ebola_cases","Liberia",2014-10-03,931
"probable_Ebola_cases","Liberia",2014-10-03,1713
"suspected_Ebola_cases","Liberia",2014-10-03,1190
"all_Ebola_cases","Liberia",2014-10-03,3834
"confirmed_Ebola_deaths","Liberia",2014-10-03,934
"probable_Ebola_deaths","Liberia",2014-10-03,677
"suspected_Ebola_deaths","Liberia",2014-10-03,458
"all_Ebola_deaths","Liberia",2014-10-03,2069
"confirmed_Ebola_cases","Liberia",2014-10-08,941
"probable_Ebola_cases","Liberia",2014-10-08,1795
"suspected_Ebola_cases","Liberia",2014-10-08,1188
"all_Ebola_cases","Liberia",2014-10-08,3924
"confirmed_Ebola_deaths","Liberia",2014-10-08,1018
"probable_Ebola_deaths","Liberia",2014-10-08,701
"suspected_Ebola_deaths","Liberia",2014-10-08,491
"all_Ebola_deaths","Liberia",2014-10-08,2210
"confirmed_Ebola_cases","Liberia",2014-10-10,943
"probable_Ebola_cases","Liberia",2014-10-10,1874
"suspected_Ebola_cases","Liberia",2014-10-10,1259
"all_Ebola_cases","Liberia",2014-10-10,4076
"confirmed_Ebola_deaths","Liberia",2014-10-10,1072
"probable_Ebola_deaths","Liberia",2014-10-10,725
"suspected_Ebola_deaths","Liberia",2014-10-10,519
"all_Ebola_deaths","Liberia",2014-10-10,2316
"confirmed_Ebola_cases","Liberia",2014-10-22,965
"probable_Ebola_cases","Liberia",2014-10-22,2106
"suspected_Ebola_cases","Liberia",2014-10-22,1594
"all_Ebola_cases","Liberia",2014-10-22,4665
"confirmed_Ebola_deaths","Liberia",2014-10-22,1241
"probable_Ebola_deaths","Liberia",2014-10-22,803
"suspected_Ebola_deaths","Liberia",2014-10-22,661
"all_Ebola_deaths","Liberia",2014-10-22,2705
"confirmed_Ebola_cases","Liberia",2014-10-25,965
"probable_Ebola_cases","Liberia",2014-10-25,2106
"suspected_Ebola_cases","Liberia",2014-10-25,1594
"all_Ebola_cases","Liberia",2014-10-25,4665
"confirmed_Ebola_deaths","Liberia",2014-10-25,1241
"probable_Ebola_deaths","Liberia",2014-10-25,803
"suspected_Ebola_deaths","Liberia",2014-10-25,661
"all_Ebola_deaths","Liberia",2014-10-25,2705
"confirmed_Ebola_cases","Mali",2014-10-29,1
"probable_Ebola_cases","Mali",2014-10-29,0
"suspected_Ebola_cases","Mali",2014-10-29,0
"all_Ebola_cases","Mali",2014-10-29,1
"confirmed_Ebola_deaths","Mali",2014-10-29,1
"probable_Ebola_deaths","Mali",2014-10-29,0
"suspected_Ebola_deaths","Mali",2014-10-29,0
"all_Ebola_deaths","Mali",2014-10-29,1
"confirmed_Ebola_cases","Mali",2014-10-31,1
"probable_Ebola_cases","Mali",2014-10-31,0
"suspected_Ebola_cases","Mali",2014-10-31,0
"all_Ebola_cases","Mali",2014-10-31,1
"confirmed_Ebola_deaths","Mali",2014-10-31,1
"probable_Ebola_deaths","Mali",2014-10-31,0
"suspected_Ebola_deaths","Mali",2014-10-31,0
"all_Ebola_deaths","Mali",2014-10-31,1
"confirmed_Ebola_cases","Mali",2014-11-05,1
"probable_Ebola_cases","Mali",2014-11-05,0
"suspected_Ebola_cases","Mali",2014-11-05,0
"all_Ebola_cases","Mali",2014-11-05,1
"confirmed_Ebola_deaths","Mali",2014-11-05,1
"probable_Ebola_deaths","Mali",2014-11-05,0
"suspected_Ebola_deaths","Mali",2014-11-05,0
"all_Ebola_deaths","Mali",2014-11-05,1
"confirmed_Ebola_cases","Mali",2014-11-07,1
"probable_Ebola_cases","Mali",2014-11-07,0
"suspected_Ebola_cases","Mali",2014-11-07,0
"all_Ebola_cases","Mali",2014-11-07,1
"confirmed_Ebola_deaths","Mali",2014-11-07,1
"probable_Ebola_deaths","Mali",2014-11-07,0
"suspected_Ebola_deaths","Mali",2014-11-07,0
"all_Ebola_deaths","Mali",2014-11-07,1
"confirmed_Ebola_cases","Mali",2014-11-12,2
"probable_Ebola_cases","Mali",2014-11-12,2
"suspected_Ebola_cases","Mali",2014-11-12,0
"all_Ebola_cases","Mali",2014-11-12,4
"confirmed_Ebola_deaths","Mali",2014-11-12,2
"probable_Ebola_deaths","Mali",2014-11-12,2
"suspected_Ebola_deaths","Mali",2014-11-12,0
"all_Ebola_deaths","Mali",2014-11-12,4
"confirmed_Ebola_cases","Mali",2014-11-19,5
"probable_Ebola_cases","Mali",2014-11-19,1
"suspected_Ebola_cases","Mali",2014-11-19,0
"all_Ebola_cases","Mali",2014-11-19,6
"confirmed_Ebola_deaths","Mali",2014-11-19,4
"probable_Ebola_deaths","Mali",2014-11-19,1
"suspected_Ebola_deaths","Mali",2014-11-19,0
"all_Ebola_deaths","Mali",2014-11-19,5
"confirmed_Ebola_cases","Mali",2014-11-21,5
"probable_Ebola_cases","Mali",2014-11-21,1
"suspected_Ebola_cases","Mali",2014-11-21,0
"all_Ebola_cases","Mali",2014-11-21,6
"confirmed_Ebola_deaths","Mali",2014-11-21,5
"probable_Ebola_deaths","Mali",2014-11-21,1
"suspected_Ebola_deaths","Mali",2014-11-21,0
"all_Ebola_deaths","Mali",2014-11-21,6
"confirmed_Ebola_cases","Mali",2014-11-26,7
"probable_Ebola_cases","Mali",2014-11-26,1
"suspected_Ebola_cases","Mali",2014-11-26,0
"all_Ebola_cases","Mali",2014-11-26,8
"confirmed_Ebola_deaths","Mali",2014-11-26,5
"probable_Ebola_deaths","Mali",2014-11-26,1
"suspected_Ebola_deaths","Mali",2014-11-26,0
"all_Ebola_deaths","Mali",2014-11-26,6
"confirmed_Ebola_cases","Nigeria",2014-08-29,15
"probable_Ebola_cases","Nigeria",2014-08-29,1
"suspected_Ebola_cases","Nigeria",2014-08-29,3
"all_Ebola_cases","Nigeria",2014-08-29,19
"confirmed_Ebola_deaths","Nigeria",2014-08-29,6
"probable_Ebola_deaths","Nigeria",2014-08-29,1
"suspected_Ebola_deaths","Nigeria",2014-08-29,0
"all_Ebola_deaths","Nigeria",2014-08-29,7
"confirmed_Ebola_cases","Nigeria",2014-09-05,18
