accession,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore
ENOG411DGHA,0,202,199.69381107491859,7.641645811140076,14.199547221066297
ENOG411CW1E,80,265,3.2304660795431692,1.6917423265714642,9.896579677208342
ENOG411DGH7,0,46,46.23452768729642,5.530898745632537,6.756895537163874
ENOG411CT94,1,35,17.70684039087948,4.146234895397212,5.641303669176448
ENOG411CQ77,9,52,5.213680781758958,2.3823022536307366,5.465054569941329
ENOG411DGHH,72,133,1.8057204051581812,0.8525745255326547,4.163198204911854
ENOG411CPDK,158,241,1.4972241001372586,0.5822901759451388,4.018703753832925
ENOG411D7QW,65,117,1.7587602408449312,0.8145588239582872,3.7599638893011886
ENOG411CQKW,1,16,8.361563517915311,3.063772735205239,3.617993841436115
ENOG411CQT4,18,46,2.4333961940682327,1.2829712321889515,3.4462727622393894
ENOG411CTA9,14,39,2.6232356134636268,1.3913473932337435,3.385903148041707
ENOG411CVHA,0,11,11.804560260586321,3.561272394676056,3.302094575423669
ENOG411CRKW,0,10,10.82084690553746,3.435741512592197,3.1483666953652576
ENOG411CW05,2,15,5.246471226927253,2.3913473932337435,3.1304998897856104
ENOG411CPSC,37,70,1.8379907423281332,0.8781295000159962,3.115377495461505
ENOG411DF1I,7,24,3.0741042345276877,1.6201660837296243,3.0177051942350546
ENOG411CU2D,0,9,9.8371335504886,3.298237988842262,2.986748876917781
ENOG411CSFD,0,9,9.8371335504886,3.298237988842262,2.986748876917781
ENOG411CRG5,51,87,1.6647456777749938,0.7353017944511047,2.977486510883127
ENOG411CYUD,12,32,2.4971185166624905,1.3202642951722607,2.970150261985708
ENOG411CWSX,126,180,1.4019851753058554,0.48747109426593893,2.955773264178063
ENOG411CUKV,11,30,2.541259500542888,1.3455437036206186,2.924050868940299
ENOG411CW2A,1,11,5.9022801302931605,2.561272394676056,2.868806308878135
ENOG411CY65,29,56,1.869055374592834,0.9023093125111228,2.86126834938704
ENOG411CX8K,2,13,4.590662323561347,2.1987023152913476,2.818378409327898
ENOG411CTTX,4,17,3.541368078175896,1.8243068005098495,2.808735559163646
ENOG411CR0G,8,24,2.732537097357944,1.4502410822873117,2.790886509527072
ENOG411CXCD,85,126,1.4526929778047117,0.5387298260249673,2.7115699653956566
ENOG411CYCR,46,77,1.632545567953427,0.7071232611395104,2.7115603272154734
ENOG411CYEA,8,23,2.6232356134636263,1.3913473932337432,2.656609028382552
ENOG411DG9T,22,44,1.9246565642260305,0.9446010342275615,2.648597777120956
ENOG411CRQ4,3,14,3.688925081433225,1.883200489563418,2.643005938135107
ENOG411CXWY,0,7,7.869706840390879,2.9763098939548995,2.633969638914541
ENOG411DGH8,0,7,7.869706840390879,2.9763098939548995,2.633969638914541
ENOG411D16P,6,19,2.8106095858538858,1.490883066784658,2.5670199486130567
ENOG411CYM3,5,17,2.95114006514658,1.5612723946760556,2.5279469996385306
ENOG411CURF,1,9,4.9185667752443,2.298237988842262,2.512832829922995
ENOG411CVJR,1,9,4.9185667752443,2.298237988842262,2.512832829922995
ENOG411CVE5,1,9,4.9185667752443,2.298237988842262,2.512832829922995
ENOG411CTT2,4,15,3.1478827361563515,1.654381799067537,2.4958714353901668
ENOG411CP6U,10,25,2.3251406573882143,1.2173179934586944,2.494111425331205
ENOG411CTMB,0,6,6.88599348534202,2.7836648160125037,2.4385379313895865
ENOG411CQT9,9,23,2.360912052117264,1.2393442997886936,2.435470819257242
ENOG411CXJA,25,46,1.7782510648960161,0.8304590274914448,2.428974117182841
ENOG411DG9U,6,18,2.670079106561191,1.4168824853408808,2.4166286719088332
ENOG411CZJ3,20,39,1.8737397239025904,0.9059205660635016,2.416595876081219
ENOG411CZEP,8,21,2.4046326456749907,1.2658165111498842,2.3767055366977874
ENOG411CQFY,59,89,1.47557003257329,0.5612723946760556,2.3711840985092256
ENOG411CY7P,19,37,1.8690553745928338,0.9023093125111226,2.34967182166493
ENOG411CQAK,4,14,2.95114006514658,1.5612723946760556,2.3295183797646595
ENOG411CXQS,1,8,4.42671009771987,2.146234895397212,2.316849478799448
ENOG411CPTN,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406
ENOG411CPBI,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406
ENOG411CT7Y,3,12,3.1970684039087947,1.6767496120959917,2.2994202450496406
ENOG411CX8F,2,10,3.6069489685124863,1.8507790118710405,2.288624929864663
ENOG411CZRH,21,39,1.7885697364524726,0.8388063702049646,2.265373735056066
ENOG411CRWF,6,17,2.529548627268497,1.3388799733396077,2.2609144702954924
