accession,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore
ENOG411CUGY,0,274,240.93602836128898,7.9125063328393175,16.04878525169437
ENOG411CWA4,31,79,2.1903275305571728,1.131146619314658,3.9757780200390913
ENOG411CTH9,17,54,2.6770669817920996,1.4206532365096427,3.936817113245228
ENOG411CSRQ,17,49,2.4336972561746357,1.2831497127597076,3.4881275634993876
Xelaev18037980m.g,6,28,3.629685622066171,1.8598445974972633,3.4878358821538757
ENOG411CTE0,0,10,9.637441134451558,3.2686501430645927,3.0533160675262443
ENOG411CYEZ,5,22,3.3585022135209974,1.747817979763152,3.0134321338603622
Xelaev18027277m.g,2,15,4.672698731855301,2.2242560237061393,2.9709028522867564
ENOG411CSK3,2,15,4.672698731855301,2.2242560237061393,2.9709028522867564
ENOG411CZ5P,6,23,3.003877756192693,1.5868261030908473,2.8795161884434854
ENOG411CRST,2,14,4.380655061114345,2.1311466193146575,2.8208803919611887
ENOG411CVIU,1,11,5.256786073337214,2.3941810251484514,2.7434826271955
ENOG411CSY9,1,11,5.256786073337214,2.3941810251484514,2.7434826271955
ENOG411CWKE,0,8,7.88517911000582,2.9791435258696075,2.730883753030497
ENOG411CZKB,0,8,7.88517911000582,2.9791435258696075,2.730883753030497
ENOG411CT6E,0,8,7.88517911000582,2.9791435258696075,2.730883753030497
ENOG411CPBC,15,37,2.0808111540293135,1.0571460378708808,2.6312173683265137
ENOG411CS0I,6,21,2.7535546098433024,1.4612952210069885,2.6124304265127933
ENOG411CQ5E,5,19,2.9204367074095634,1.5461841185935017,2.6046766389964455
ENOG411CXHY,1,10,4.818720567225779,2.2686501430645927,2.574302664416302
ENOG411CZRV,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747
ENOG411D4DK,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747
ENOG411CYP3,0,7,7.009048097782952,2.8092185244272954,2.5544680143630747
ENOG411CRFF,3,14,3.2854912958357585,1.7161091200358138,2.465618439646369
ENOG411CYJA,10,27,2.2301516674763935,1.1571418278476022,2.449584531472017
ENOG411CU81,28,55,1.6918391960165744,0.7585924513573272,2.397008359339408
ENOG411CPHB,1,9,4.3806550611143455,2.131146619314658,2.394577706630096
ENOG411CR49,1,9,4.3806550611143455,2.131146619314658,2.394577706630096
ENOG411CU95,17,38,1.898283859816216,0.9246957418472312,2.3872578483026308
ENOG411CTFT,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355
ENOG411CPI8,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355
ENOG411CPFH,0,6,6.1329170855600825,2.6165734464848995,2.3649409606648355
ENOG411CPU1,7,21,2.4093602836128896,1.2686501430645927,2.354135541604539
ENOG411CPJD,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136
ENOG411CVIM,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136
ENOG411CSMB,2,11,3.5045240488914757,1.8092185244272954,2.325921223458136
ENOG411CW29,4,15,2.8036192391131807,1.4872904295399332,2.2974320335425453
ENOG411CS0R,42,74,1.5281354864352366,0.6117724602210783,2.2796765638795575
ENOG411CQ1J,11,27,2.044305695186694,1.0316109457637432,2.2358029503672
ENOG411CZ92,1,8,3.94258955500291,1.9791435258696077,2.202224418484873
ENOG411CUKV,38,67,1.5276130469526945,0.6112791468153864,2.1720338913834576
ENOG411CVT6,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411CRUN,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411CXFW,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411D4TX,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411CYS8,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411CVE5,0,5,5.256786073337214,2.3941810251484514,2.1588521950809243
ENOG411CTBI,25,48,1.6511699845738685,0.7234886504014115,2.1564749752633086
ENOG411CTZS,5,16,2.4823712012981285,1.3117188649564784,2.152181233549569
ENOG411CV76,9,23,2.1027144293348856,1.0722529302610893,2.148461496750501
ENOG411CWI6,3,12,2.8474257897243245,1.5096582425683878,2.1261260992579554
ENOG411CQA0,11,26,1.971294777501455,0.9791435258696077,2.1069784994678487
ENOG411D110,18,37,1.7522620244457379,0.8092185244272954,2.1061735737523644
ENOG411CP4V,8,21,2.1416535854336796,1.0987251416222803,2.1056379196093213
ENOG411CYWS,10,24,1.9912068459610655,0.9936430955647226,2.0582966827691145
ENOG411CWT1,14,30,1.8106707585939292,0.8565242392056521,2.0091785617047377
Xelaev18044446m.g,5,15,2.3363493659276506,1.2242560237061393,1.989359394956426
ENOG411CSWI,5,15,2.3363493659276506,1.2242560237061393,1.989359394956426
ENOG411CUAG,11,25,1.8982838598162162,0.9246957418472315,1.9750191466514564
ENOG411CS7X,4,13,2.4531668342240334,1.2946453515975374,1.9603340270059821
ENOG411CQ9V,13,28,1.8148428110330854,0.8598445974972632,1.9541786932402399
ENOG411CU7F,2,9,2.9204367074095634,1.5461841185935017,1.9462104876892539
ENOG411CWMN,2,9,2.9204367074095634,1.5461841185935017,1.9462104876892539
ENOG411CPQH,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CW05,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CSB2,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CYVX,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CTZP,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CPMF,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411D2XS,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CTDB,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CPIC,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CSRI,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411D4X6,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CQJC,0,4,4.3806550611143455,2.131146619314658,1.9309060021896145
ENOG411CYQ7,33,57,1.4945764326154822,0.579736678304528,1.9162179932478804
ENOG411CPX5,49,79,1.4018096195565903,0.48729042953993307,1.9053590554036732
ENOG411CRW3,47,76,1.4054601654408523,0.49104256440104055,1.8837981679073432
ENOG411CR02,39,65,1.445616170167734,0.5316845488983866,1.8830327192800278
ENOG411CQMA,9,21,1.9274882268903117,0.9467220481772304,1.8661756828104903
ENOG411CZJ3,23,42,1.56973473023264,0.6505207784082371,1.8433364058796486
ENOG411CVGA,11,24,1.8252729421309768,0.8681122134808638,1.839733479880133
ENOG411CWCJ,13,27,1.7522620244457379,0.8092185244272954,1.8256869917689122
ENOG411CSCH,13,27,1.7522620244457379,0.8092185244272954,1.8256869917689122
ENOG411CZSF,1,6,3.0664585427800413,1.6165734464848995,1.7671619063581134
ENOG411CX09,1,6,3.0664585427800413,1.6165734464848995,1.7671619063581134
ENOG411CR3X,46,73,1.3794403171168577,0.46408303837860804,1.7517130885377652
ENOG411CWD9,3,10,2.4093602836128896,1.2686501430645927,1.7481424339834466
ENOG411CP5N,3,10,2.4093602836128896,1.2686501430645927,1.7481424339834466
ENOG411CVMA,3,10,2.4093602836128896,1.2686501430645927,1.7481424339834466
ENOG411CUMP,3,10,2.4093602836128896,1.2686501430645927,1.7481424339834466
ENOG411CRI8,2,8,2.628393036668607,1.3941810251484517,1.7358393457339476
ENOG411CWRS,2,8,2.628393036668607,1.3941810251484517,1.7358393457339476
ENOG411CV0W,2,8,2.628393036668607,1.3941810251484517,1.7358393457339476
ENOG411CVXB,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CQWY,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411DDN4,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CZTT,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CYBI,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CSVU,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CR1N,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CXG7,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411D3JU,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CV7Z,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CPPD,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411D68J,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CT65,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411D31B,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CQTJ,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411D1ND,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CR6S,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CTPH,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CZSA,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CP6S,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CSQG,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CX2K,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CZ85,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CXBN,0,3,3.504524048891476,1.8092185244272956,1.6721875819569618
ENOG411CPUN,8,18,1.8496099146927232,0.8872210364285684,1.6554797711279852
ENOG411CU55,14,27,1.6354445561493554,0.7096828508763809,1.6286936400275767
ENOG411CWSX,145,198,1.1941785714544584,0.25601858609092704,1.5810968839608313
ENOG411CQ47,15,28,1.58798745965395,0.6671995195548676,1.5672198801920962
ENOG411CWYE,15,28,1.58798745965395,0.6671995195548676,1.5672198801920962
ENOG411CTCD,11,22,1.6792511067604987,0.747817979763152,1.55832417345786
ENOG411CXHR,3,9,2.1903275305571728,1.131146619314658,1.5407589208349255
ENOG411DFYG,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411CUH5,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411CUAQ,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411CZEY,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411CU3P,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411DFIZ,1,5,2.628393036668607,1.3941810251484517,1.5145664292859689
ENOG411CTA6,2,7,2.3363493659276506,1.2242560237061393,1.5078640442602773
ENOG411CXHK,2,7,2.3363493659276506,1.2242560237061393,1.5078640442602773
ENOG411CTDN,2,7,2.3363493659276506,1.2242560237061393,1.5078640442602773
ENOG411CPD2,2,7,2.3363493659276506,1.2242560237061393,1.5078640442602773
ENOG411CTRV,2,7,2.3363493659276506,1.2242560237061393,1.5078640442602773
